Zip Code,Latitude,Longitude,Venue Category,Venue,Venue Latitude,Venue Longitude
20109,38.80110168,-77.52182007,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
20109,38.80110168,-77.52182007,Gym / Fitness Center,Doll House Pole Fitness,38.800105,-77.522966
20109,38.80110168,-77.52182007,Dance Studio,Gainesville Ballet,38.793936,-77.612942
20109,38.80110168,-77.52182007,Dance Studio,Gainesville Dance Center,38.792512,-77.59682600000001
20109,38.80110168,-77.52182007,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20109,38.80110168,-77.52182007,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20109,38.80110168,-77.52182007,Dance Studio,Showcase Dance Studio Inc.,38.784618,-77.518596
20109,38.80110168,-77.52182007,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20109,38.80110168,-77.52182007,Dance Studio,Centreville Dance Academy,38.83730877371033,-77.43742008040653
20109,38.80110168,-77.52182007,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20109,38.80110168,-77.52182007,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20109,38.80110168,-77.52182007,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20109,38.80110168,-77.52182007,Dance Studio,Baemar Dance Center,38.750023,-77.57113100000001
20109,38.80110168,-77.52182007,Dance Studio,Centreville Dance Academy,38.8328140784905,-77.44559937703502
20109,38.80110168,-77.52182007,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20109,38.80110168,-77.52182007,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20109,38.80110168,-77.52182007,Dance Studio,Braemar Dance Center,38.76161463490373,-77.5579257106678
20109,38.80110168,-77.52182007,Dance Studio,The Ballroom Studio,38.837330743368156,-77.43882304405236
20109,38.80110168,-77.52182007,Dance Studio,Tiny Dancers,38.794651,-77.600039
20111,38.75284958,-77.43071747,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20111,38.75284958,-77.43071747,Dance Studio,manassas ballet company,38.75969314575195,-77.46516418457031
20111,38.75284958,-77.43071747,Dance Studio,Manassas Ballet Academy,38.758747,-77.466492
20111,38.75284958,-77.43071747,Dance Studio,Northern Virginia Dance Academy,38.759637,-77.46008499999999
20111,38.75284958,-77.43071747,Dance Studio,Magnificent Belly Dance,38.75143675082569,-77.46869865701528
20111,38.75284958,-77.43071747,Dance Studio,Academy of Russian Ballet,38.7631241991495,-77.5071661848652
20111,38.75284958,-77.43071747,Dance Studio,K Force Dance Studio,38.75966,-77.460144
20111,38.75284958,-77.43071747,Dance Studio,Virginia Dance Center,38.75435810613458,-77.49132788327096
20112,38.67250061,-77.43344879,Dance Studio,Accent Dancers,38.66083051787402,-77.36867109992725
20112,38.67250061,-77.43344879,Dance Studio,Hall Of Fame Dance Challenge,38.65099725524666,-77.38472797495731
20112,38.67250061,-77.43344879,Dance Studio,Aerobahia Dance Fitness,38.744867,-77.452216
20112,38.67250061,-77.43344879,Dance Studio,Accent Dancers,38.660815,-77.368319
20112,38.67250061,-77.43344879,Dance Studio,METstar Elite Dance Studio,38.614505,-77.368645
20136,38.71643066,-77.53150177,Dance Studio,Stage Door Dance Studio,38.80043299924202,-77.52196195247906
